,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
3098,Something else,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",,Male,White,,Moderate; middle of the road,60,0.533169887755709
3099,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Male,Hispanic,Donald Trump,Extremely conservative,51,0.977844784600578
3100,Jewish,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Donald Trump,Male,White,,Conservative,76,0.179679044546614
3101,Nothing in particular,Progressive,Never married,Graduate degree,Heterosexual or straight,"$70,000-74,999",Joe Biden,Male,Hispanic,,Moderate; middle of the road,28,0.273748886074816
3102,Nothing in particular,None of the above,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$15,000-19,999",,Female,White,Joe Biden,Liberal,19,0.0
3103,Something else,Traditional,Never married,Graduate degree,Heterosexual or straight,"$40,000-44,999",,Female,White,,Extremely conservative,23,0.0
3104,Protestant,Progressive,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Joe Biden,Female,White,Joe Biden,Liberal,69,1.37927404372543
3105,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"Under $9,999",Donald Trump,Male,White,Donald Trump,Conservative,76,0.0648876476696208
3106,Protestant,Mainline,Divorced,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Donald Trump,Male,White,Donald Trump,Conservative,61,2.82133670339423
3107,Catholic,Mainline,Married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Donald Trump,Female,White,Donald Trump,Conservative,33,1.01141371515882
3108,Atheist,None of the above,Married,High school credential,Heterosexual or straight,"$175,000-249,999",Joe Biden,Female,White,,Liberal,59,1.51179307210089
3109,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$80,000-89,999",Donald Trump,Female,White,Donald Trump,Conservative,75,0.467673661993342
3110,Nothing in particular,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$150,000-174,999",,Female,White,,,41,0.0
3111,Catholic,Progressive,Never married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,Hispanic,,Slightly liberal,35,2.78257373266893
3112,Something else,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Joe Biden,Female,Black,Joe Biden,,39,1.09581755417695
3113,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",Donald Trump,Female,White,,Conservative,48,1.91924145589601
3114,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",,Male,White,Michael Bloomberg,Moderate; middle of the road,72,0.0
3115,Protestant,Traditional,Married,Less than high school credential,Heterosexual or straight,"$90,000-99,999",Donald Trump,Male,White,,Moderate; middle of the road,74,1.57752673878036
3116,Agnostic,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$70,000-74,999",Joe Biden,Male,White,Joe Biden,Liberal,71,0.342219663151516
3117,,,Married,Bachelor’s degree,,,Joe Biden,Male,,,Slightly conservative,76,1.26533795887088
3118,Something else,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",,Female,White,,,28,1.19448867276735
3119,Jewish,Secular,Never married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,White,,Slightly conservative,26,0.47775725249662
3120,Agnostic,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",Joe Biden,Female,White,Joe Biden,Liberal,68,0.257384200886023
3121,Nothing in particular,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$75,000-79,999",Joe Biden,Male,White,Elizabeth Warren,Liberal,46,0.669524782030339
3122,Protestant,Secular,Never married,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Male,Black,Bernie Sanders,Slightly liberal,47,1.30091271056237
3123,Nothing in particular,None of the above,Married,High school credential,Heterosexual or straight,"$35,000-39,999",,Male,Hispanic,,,28,4.41626929661261
3124,Protestant,Traditional,Married,,Heterosexual or straight,"$40,000-44,999",Jo Jorgensen,Female,Hispanic,Donald Trump,Conservative,23,0.733750573286408
3125,Protestant,Spiritual but not religious,Widowed,Graduate degree,Heterosexual or straight,"$45,000-49,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,65,0.140820096075669
3126,Catholic,Traditional,Married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,White,Pete Buttigieg,Liberal,40,0.307426223470452
3127,Catholic,Secular,Married,Graduate degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Male,White,,Liberal,73,0.370223621414646
3128,Catholic,Traditional,Divorced,Graduate degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,Hispanic,,,41,1.52117504582907
3129,Protestant,Traditional,Never married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,Black,,Slightly liberal,52,0.533148448045286
3130,Hindu,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,Asian/NHPI,,Slightly liberal,47,1.25629457932486
3131,Nothing in particular,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$50,000-59,999",,Male,White,,Moderate; middle of the road,26,0.0
3132,Catholic,Non-traditional believer,Divorced,Bachelor’s degree,Heterosexual or straight,,Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,80,1.20264772510779
3133,Protestant,Spiritual but not religious,Widowed,Less than high school credential,Heterosexual or straight,"$10,000-14,999",,Female,White,,Slightly liberal,80,0.0
3134,Something else,None of the above,Married,"Some post-high school, no bachelor’s degree",,,Joe Biden,,Black,Joe Biden,Slightly liberal,61,0.167225166026611
3135,Protestant,Progressive,Never married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",,Male,White,,Slightly conservative,27,0.0
3136,Catholic,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Female,White,,Moderate; middle of the road,59,1.14765054193226
3137,Something else,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Female,White,Bernie Sanders,Extremely liberal,44,0.399978972245093
3138,Nothing in particular,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",,Male,Asian/NHPI,,Moderate; middle of the road,26,0.191373465124247
3139,Protestant,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,37,0.875229804262467
3140,Nothing in particular,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Male,White,Donald Trump,Conservative,55,0.490166426744329
3141,Protestant,Traditional,Widowed,Graduate degree,Heterosexual or straight,"Under $9,999",Donald Trump,Male,White,,,80,0.107009163962106
3142,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$90,000-99,999",,Female,Hispanic,,,19,0.0
3143,Protestant,Mainline,Married,High school credential,Heterosexual or straight,"$175,000-249,999",,Male,Multiracial,,Moderate; middle of the road,70,5.56072289594973
3144,Catholic,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",,Female,White,,Moderate; middle of the road,27,0.680920224375297
3145,Catholic,Traditional,,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,Joe Biden,Female,Hispanic,,,-9,2.15617804752335
3146,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,Donald Trump,Male,White,Donald Trump,Extremely conservative,57,2.22259674775203
3147,Something else,Spiritual but not religious,Divorced,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,Black,Joe Biden,Moderate; middle of the road,66,0.437463340734781
3148,Atheist,Secular,Married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,Hispanic,Elizabeth Warren,Extremely liberal,60,2.62868725660964
3149,Protestant,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,Joe Biden,Male,White,Bernie Sanders,Moderate; middle of the road,47,0.346939463300114
3150,Protestant,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$75,000-79,999",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,77,0.582945853983247
3151,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,Black,Joe Biden,Liberal,49,1.43205479733592
3152,Catholic,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$75,000-79,999",Donald Trump,Female,White,,Moderate; middle of the road,54,0.863270389277771
3153,Protestant,Traditional,Married,High school credential,Heterosexual or straight,"$30,000-34,999",Donald Trump,Female,White,,,64,1.51496370953781
3154,Jewish,Secular,Never married,High school credential,Heterosexual or straight,"$15,000-19,999",,Male,White,,Conservative,28,0.0
3155,Protestant,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Donald Trump,Female,White,,Slightly conservative,61,1.25429648259628
3156,Nothing in particular,Non-traditional believer,Married,High school credential,Heterosexual or straight,"$10,000-14,999",Joe Biden,Female,Multiracial,Bernie Sanders,Moderate; middle of the road,54,0.488175854304222
3157,Nothing in particular,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$60,000-64,999",Joe Biden,Female,White,,Conservative,25,0.540108730418055
3158,Catholic,Non-traditional believer,Never married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Female,White,,Moderate; middle of the road,29,0.647417261505589
3159,Something else,Progressive,Never married,Bachelor’s degree,Bisexual,"$40,000-44,999",Joe Biden,Female,White,Bernie Sanders,Extremely liberal,24,0.542642335892481
3160,Protestant,Traditional,Widowed,Graduate degree,Homosexual or gay (or lesbian),"$50,000-59,999",,Male,White,Pete Buttigieg,Liberal,77,0.0
3161,Nothing in particular,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,Bernie Sanders,Liberal,30,0.789427754601301
3162,Something else,Traditional,Married,High school credential,Heterosexual or straight,,,Female,Hispanic,,Slightly conservative,40,0.0
3163,Catholic,Traditional,Never married,High school credential,Homosexual or gay (or lesbian),"$50,000-59,999",Joe Biden,Female,White,Joe Biden,,68,0.978320444743932
3164,Something else,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Bisexual,"Under $9,999",Howie Hawkins,Male,White,,Extremely liberal,65,0.0750331806571511
3165,Catholic,Charismatic/Pentecostal,Never married,High school credential,Heterosexual or straight,"$45,000-49,999",,Male,White,,Conservative,33,2.91293470951973
3166,Protestant,Progressive,Married,High school credential,Heterosexual or straight,"$35,000-39,999",,Male,White,,Slightly conservative,39,2.35804185971555
3167,Agnostic,None of the above,Never married,Graduate degree,Heterosexual or straight,"$40,000-44,999",,Male,Asian/NHPI,,Liberal,32,1.67156207144966
3168,Something else,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",Donald Trump,Female,White,,Slightly liberal,60,0.349775591966062
3169,Protestant,Mainline,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,35,0.864981539805849
3170,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",Donald Trump,Female,White,Donald Trump,Conservative,71,0.514115269156276
3171,Nothing in particular,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"$70,000-74,999",Donald Trump,Male,White,Donald Trump,Conservative,63,0.60272575094475
3172,Protestant,Non-traditional believer,Married,Bachelor’s degree,Heterosexual or straight,"$70,000-74,999",Other,Female,Hispanic,,Slightly conservative,41,2.53196592978477
3173,Catholic,None of the above,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",,Female,Black,,Moderate; middle of the road,40,1.42747343290393
3174,Nothing in particular,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Joe Biden,Male,White,,Slightly liberal,80,0.0956485847408648
3175,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",,Male,Multiracial,Donald Trump,Conservative,49,0.0
3176,Catholic,Traditional,Never married,Bachelor’s degree,Heterosexual or straight,"Under $9,999",Donald Trump,Female,White,Donald Trump,,69,0.153427894433746
3177,Catholic,Progressive,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",,Male,White,,Slightly liberal,34,0.0
3178,Catholic,Traditional,Married,Graduate degree,Heterosexual or straight,"$150,000-174,999",,Female,White,,Slightly liberal,54,0.0
3179,Agnostic,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$45,000-49,999",Joe Biden,Female,White,Bernie Sanders,Liberal,80,0.540980978831602
3180,Something else,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,,Male,Black,,Moderate; middle of the road,-9,1.77221744331919
3181,Orthodox,Charismatic/Pentecostal,Separated,High school credential,Heterosexual or straight,"Under $9,999",,Female,Black,,,64,6.65066483795022
3182,Atheist,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"Under $9,999",,Male,Asian/NHPI,3rd party,Slightly conservative,50,0.191111364765324
3183,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Donald Trump,Male,White,,Conservative,49,0.299669507108752
3184,Catholic,Traditional,Married,Graduate degree,Heterosexual or straight,"$125,000-149,999",Donald Trump,Female,White,Donald Trump,Conservative,62,1.54469486728259
3185,Something else,Progressive,Married,Graduate degree,Heterosexual or straight,"$75,000-79,999",Joe Biden,Female,White,,Extremely liberal,26,0.308100195055923
3186,Catholic,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,White,,Slightly conservative,28,2.50493328815033
3187,Atheist,Secular,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$45,000-49,999",Joe Biden,Male,White,,Slightly liberal,39,0.698890170943855
3188,Nothing in particular,None of the above,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,Asian/NHPI,,Slightly liberal,49,0.947493328330798
3189,Protestant,Mainline,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Male,White,Another Republican,Moderate; middle of the road,66,0.47974242798666
3190,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,Donald Trump,Conservative,56,1.98108424845076
3191,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Male,White,,Moderate; middle of the road,67,0.83128885089189
3192,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,Bernie Sanders,Slightly liberal,20,3.54208008645285
3193,Protestant,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Joe Biden,Female,Black,Joe Biden,Slightly liberal,73,0.432248012263625
3194,Protestant,Charismatic/Pentecostal,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Male,White,Donald Trump,Extremely liberal,49,1.08917616130058
3195,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Donald Trump,Male,White,,Conservative,69,0.712899691957776
3196,Protestant,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,White,,Liberal,50,0.199993441544327
3197,Catholic,Charismatic/Pentecostal,Divorced,High school credential,Heterosexual or straight,"$25,000-29,999",Joe Biden,Female,Hispanic,,Slightly liberal,54,2.19623393234307
3198,Something else,Charismatic/Pentecostal,Married,Graduate degree,Heterosexual or straight,"$50,000-59,999",Joe Biden,Male,Black,Joe Biden,,54,0.364907278155678
3199,Nothing in particular,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"$15,000-19,999",Joe Biden,Female,Black,,,65,1.86785183019737
3200,Something else,Traditional,Widowed,Graduate degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Female,Multiracial,Michael Bloomberg,Slightly liberal,80,0.841661024215154
3201,Atheist,None of the above,Never married,"Some post-high school, no bachelor’s degree",Bisexual,"$250,000 or more",Joe Biden,Female,Multiracial,Pete Buttigieg,Liberal,23,1.42261029272856
3202,Nothing in particular,None of the above,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",,Female,White,,Moderate; middle of the road,33,0.162673056671619
3203,Agnostic,Secular,Never married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",,Male,Asian/NHPI,,Moderate; middle of the road,-9,0.0
3204,Agnostic,None of the above,Never married,Graduate degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,Asian/NHPI,,Liberal,43,0.267207350010279
3205,Something else,None of the above,Never married,Less than high school credential,Heterosexual or straight,"Under $9,999",,Female,Black,,Extremely liberal,49,0.627755042104166
3206,Something else,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Joe Biden,Female,White,Bernie Sanders,Moderate; middle of the road,25,0.0803573977519222
3207,Protestant,Spiritual but not religious,Married,Bachelor’s degree,Bisexual,"$125,000-149,999",Joe Biden,Female,White,Bernie Sanders,Slightly liberal,30,0.874131814177187
3208,Something else,Charismatic/Pentecostal,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$65,000-69,999",Donald Trump,Male,White,Donald Trump,,51,1.01345248549681
3209,Protestant,Traditional,Widowed,High school credential,Heterosexual or straight,"$30,000-34,999",Donald Trump,Female,White,,Moderate; middle of the road,75,0.392017401691669
3210,Catholic,Traditional,Married,Graduate degree,Heterosexual or straight,"$70,000-74,999",Donald Trump,Female,White,Donald Trump,Slightly conservative,74,0.305938036873148
3211,Something else,Traditional,Widowed,Bachelor’s degree,Heterosexual or straight,,Donald Trump,Female,White,Donald Trump,Conservative,64,0.369569331890959
3212,Protestant,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Donald Trump,Female,White,Donald Trump,Conservative,33,1.32375924204026
3213,Nothing in particular,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",,Male,White,Joe Biden,Slightly liberal,37,0.0
3214,Protestant,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Donald Trump,Female,White,,Conservative,73,0.380548994999989
3215,Something else,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",,Male,White,,Moderate; middle of the road,64,0.0
3216,Nothing in particular,None of the above,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",,Female,White,Donald Trump,,50,0.0
3217,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",,Male,White,,Moderate; middle of the road,55,0.0
3218,Nothing in particular,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$70,000-74,999",,Male,White,Donald Trump,,26,0.0
3219,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,,Male,White,Donald Trump,Extremely conservative,59,0.0
3220,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,,Donald Trump,Male,White,Donald Trump,Extremely conservative,-9,1.25564477311971
3221,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,,Joe Biden,Male,White,Amy Klobuchar,Slightly conservative,53,0.332427711386331
3222,Catholic,None of the above,Never married,Less than high school credential,Heterosexual or straight,"Under $9,999",,Female,Hispanic,,,25,3.17432607745066
3223,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Donald Trump,Female,White,Donald Trump,Slightly conservative,80,0.16769615573849
3224,Something else,None of the above,Married,,Heterosexual or straight,"$75,000-79,999",Donald Trump,Female,Hispanic,Another Democrat,,40,1.67526323317101
3225,Protestant,Progressive,Never married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Male,Asian/NHPI,Bernie Sanders,Slightly liberal,31,0.739050667426976
3226,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,Donald Trump,Conservative,72,1.34883990427616
3227,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"$50,000-59,999",Joe Biden,Male,Hispanic,Bernie Sanders,Liberal,22,1.04139007083907
3228,Catholic,Traditional,Widowed,Graduate degree,Heterosexual or straight,"$60,000-64,999",,Female,White,Donald Trump,Moderate; middle of the road,71,0.0
3229,Nothing in particular,Spiritual but not religious,Never married,Bachelor’s degree,,,Joe Biden,,AIAN,Joe Biden,Moderate; middle of the road,-9,0.357129560661056
3230,Atheist,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$110,000-124,999",Joe Biden,Male,Multiracial,,Liberal,52,1.76914467540541
3231,Orthodox,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Donald Trump,Male,Asian/NHPI,,Conservative,39,1.03163026354921
3232,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,Multiracial,,Moderate; middle of the road,59,3.14661912545647
3233,Nothing in particular,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,67,0.729806884513882
3234,Protestant,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$110,000-124,999",Donald Trump,Male,White,Donald Trump,Extremely conservative,61,1.52673676970537
3235,Protestant,Mainline,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Jo Jorgensen,Male,White,Elizabeth Warren,Extremely liberal,41,1.18054934198064
3236,Catholic,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"$15,000-19,999",Donald Trump,Female,White,,,56,0.393931167421638
3237,Something else,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",Donald Trump,Male,White,Donald Trump,Conservative,65,0.979898048528615
3238,Catholic,Progressive,Divorced,Graduate degree,Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,Michael Bloomberg,Moderate; middle of the road,64,0.193989902437121
3239,Something else,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$60,000-64,999",Joe Biden,Female,White,,Liberal,24,0.878123090292985
3240,Nothing in particular,None of the above,Widowed,High school credential,Heterosexual or straight,"$35,000-39,999",,Male,White,Joe Biden,Moderate; middle of the road,72,1.18435793736231
3241,Something else,Charismatic/Pentecostal,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Male,White,Donald Trump,Conservative,39,0.725046689636423
3242,Something else,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",,Female,AIAN,Donald Trump,Moderate; middle of the road,64,0.0
3243,Protestant,Traditional,Married,,Heterosexual or straight,"$20,000-24,999",,Female,White,Donald Trump,Slightly conservative,73,0.0
3244,Nothing in particular,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Joe Biden,Female,White,,Liberal,23,0.158047825269888
3245,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$35,000-39,999",,Female,White,Joe Biden,Slightly conservative,72,0.0
3246,Catholic,Progressive,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,Black,Joe Biden,Liberal,19,2.71681825651621
3247,Nothing in particular,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,,Moderate; middle of the road,42,1.13948821983747
3248,Something else,Secular,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",,Female,Multiracial,,Extremely liberal,26,0.24550488155008
3249,Protestant,Traditional,Never married,High school credential,Heterosexual or straight,"$40,000-44,999",,Female,Asian/NHPI,,,19,6.22193232606852
3250,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,Hispanic,Joe Biden,Moderate; middle of the road,77,1.60845997879569
3251,Protestant,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$90,000-99,999",Jo Jorgensen,Female,AIAN,,Moderate; middle of the road,46,0.918626500388989
3252,Catholic,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"Under $9,999",Joe Biden,Female,Hispanic,Joe Biden,Liberal,35,0.129394988002571
3253,Protestant,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,Joe Biden,Liberal,66,0.691847252195943
3254,Something else,Traditional,Married,High school credential,Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,Black,Joe Biden,,68,3.01298473035056
3255,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,White,,Slightly conservative,63,1.4458063798906
3256,Catholic,Non-traditional believer,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",Joe Biden,Male,White,,Moderate; middle of the road,40,0.760117096604726
3257,Nothing in particular,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",,Male,White,Donald Trump,Conservative,26,0.881588536119747
3258,Protestant,Traditional,Married,High school credential,Heterosexual or straight,"$60,000-64,999",Donald Trump,Male,White,Donald Trump,Extremely conservative,80,0.768058268021281
3259,Catholic,None of the above,Married,High school credential,Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,White,,Moderate; middle of the road,53,1.19953637252789
3260,Something else,Charismatic/Pentecostal,Married,Bachelor’s degree,Heterosexual or straight,"$70,000-74,999",Donald Trump,Female,White,Donald Trump,Moderate; middle of the road,35,0.934909716419251
3261,Agnostic,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",Joe Biden,Female,White,Bernie Sanders,Slightly liberal,34,0.396728930018673
3262,Something else,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",,Male,AIAN,,Slightly liberal,66,0.0
3263,Hindu,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Female,Asian/NHPI,Joe Biden,Moderate; middle of the road,30,0.936802163991422
3264,Protestant,Traditional,Widowed,High school credential,Heterosexual or straight,"$20,000-24,999",Joe Biden,Female,White,Joe Biden,Moderate; middle of the road,80,0.143573853864934
