,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
5908,Protestant,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$40,000-44,999",Joe Biden,Female,White,3rd party,,69,0.448984130395548
5909,Catholic,None of the above,Married,,,,Joe Biden,Female,White,,Slightly conservative,-9,0.119102905240317
5910,Protestant,None of the above,Married,Graduate degree,Heterosexual or straight,"Under $9,999",Donald Trump,Female,White,Donald Trump,Extremely conservative,53,0.0925237431866188
5911,Something else,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Joe Biden,Female,White,Donald Trump,Conservative,55,0.0621284296355589
5912,Nothing in particular,Progressive,Divorced,High school credential,Heterosexual or straight,"Under $9,999",Joe Biden,Female,Black,,Slightly conservative,69,1.22911247110989
5913,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",Donald Trump,Female,White,Donald Trump,Conservative,53,1.63353224588042
5914,Protestant,Mainline,Divorced,Bachelor’s degree,Heterosexual or straight,"$60,000-64,999",Donald Trump,Female,White,Donald Trump,Conservative,64,0.424069650804396
5915,Nothing in particular,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,White,,Slightly liberal,56,1.05375555265308
5916,Something else,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,White,Bernie Sanders,Slightly liberal,60,0.370032246050596
5917,Something else,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,Donald Trump,Male,White,,Conservative,-9,0.947201518787929
5918,Agnostic,Non-traditional believer,Never married,"Some post-high school, no bachelor’s degree",Bisexual,"$80,000-89,999",,Male,Asian/NHPI,,Slightly liberal,24,0.0
5919,Protestant,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Male,White,Joe Biden,Slightly liberal,66,0.271621726864726
5920,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,,Conservative,38,0.582619189564858
5921,Something else,,Never married,Graduate degree,Heterosexual or straight,"$100,000-109,999",,Female,White,,Slightly conservative,-9,1.89749665971281
5922,Protestant,Traditional,Married,Less than high school credential,Heterosexual or straight,"$10,000-14,999",Joe Biden,Female,White,Joe Biden,,77,0.200909394309477
5923,Protestant,None of the above,Married,High school credential,Heterosexual or straight,"$60,000-64,999",Donald Trump,Male,White,Donald Trump,Conservative,75,2.22671322708912
5924,Catholic,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Female,White,,,53,1.54662871510591
5925,Protestant,None of the above,Married,Graduate degree,Heterosexual or straight,"$40,000-44,999",Donald Trump,Male,Asian/NHPI,,,60,0.811808286539678
5926,,,Married,Bachelor’s degree,,,,Female,,,Moderate; middle of the road,-9,0.0
5927,Jewish,Traditional,Widowed,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,Another Democrat,Liberal,73,0.59968864478773
5928,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$70,000-74,999",Donald Trump,Male,White,Donald Trump,Conservative,77,0.587422473938266
